Metadata_treatment	Metadata_dose	Metadata_Nuclei_Location_Center_X	Metadata_Nuclei_Location_Center_Y	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_ZSlice	UMAP0	UMAP1
Staurosporine	10	909.2557411273486	825.0861169102296	NF0014	G11	1	ZS018	9.296078	1.278277
Digoxin	1	725.7795497185741	614.8705440900563	NF0014	E2	1	ZS024	10.424631	2.085033
Mirdametinib	1	729.67	858.39	NF0014	E8	1	ZS030	11.468258	-0.92894495
Linsitinib	1	710.0050802447754	656.0456067428703	NF0014	G3	2	ZS038	12.519952	3.3103342
Fimepinostat	1	1120.349915069158	989.7177869449163	NF0014	D5	2	ZS016	10.558753	0.9850162
Binimetinib	1	915.6774758983348	940.7250949459539	NF0014	F7	1	ZS028	11.230176	4.116473
Copanlisib	1	627.4666286366229	910.2743867655448	NF0014	D3	1	ZS022	8.743679	-0.40589005
DMSO	1	885.5974264705883	820.0643382352941	NF0014	F4	1	ZS042	10.669094	1.4341435
Binimetinib	10	647.7417567567568	803.5114864864864	NF0014	C8	2	ZS030	10.610027	4.389236
Mirdametinib	10	757.6259448416752	681.738100102145	NF0014	C9	2	ZS030	10.984948	5.2620263
Binimetinib	10	814.5890706225434	552.3001141118295	NF0014	D8	1	ZS034	14.065787	1.7642406
DMSO	1	1092.5275447427293	844.2862136465325	NF0014	E4	2	ZS038	11.715189	1.5054784
DMSO	1	855.6920162381597	545.4627875507442	NF0014	F4	2	ZS060	11.276212	2.9816842
Binimetinib	10	947.73208910295	471.6351595424443	NF0014	D8	1	ZS034	10.628622	2.1864414
Mirdametinib	1	631.1223438506117	1472.3180940115906	NF0014	F8	1	ZS022	9.186506	0.5373763
Everolimus	1	965.2028813559322	994.1522033898306	NF0014	C5	2	ZS030	10.819313	1.8615723
Selumetinib	10	1094.8795568263045	913.3766976411723	NF0014	E11	1	ZS024	10.670842	4.7450337
DMSO	1	573.0307917888563	1414.781036168133	NF0014	F9	2	ZS046	10.182568	0.14361998
Onalespib	1	401.4212050984936	572.5990730011588	NF0014	C3	1	ZS032	9.68902	-0.12484424
DMSO	1	1023.0872080791079	995.5439722280665	NF0014	E4	1	ZS048	12.274474	2.7380602
Selumetinib	1	886.4434086291383	1042.469582885144	NF0014	D11	2	ZS060	11.432817	3.2507303
Everolimus	1	706.7052952592181	1237.8830052675353	NF0014	G4	2	ZS036	10.216285	2.5671968
Mirdametinib	1	979.5087719298245	769.6491228070175	NF0014	E8	1	ZS030	11.43425	-0.8493206
Linsitinib	1	976.5495345282757	567.8247881061553	NF0014	G3	2	ZS038	10.417281	2.644517
Copanlisib	1	323.45238095238096	588.9499178981938	NF0014	E3	1	ZS028	13.994178	1.8951281
Trametinib	1	607.8700531600708	794.6274575985149	NF0014	C10	1	ZS044	10.856091	4.3156548
Trametinib	10	1376.0127388535032	637.0169851380042	NF0014	F10	1	ZS048	11.528605	-0.6508907
Selumetinib	1	965.6801075268817	372.60433467741933	NF0014	D11	2	ZS060	14.496969	1.9910426
Imatinib	1	563.4494712103408	451.47062279670973	NF0014	D6	2	ZS030	12.223923	3.2085664
Selumetinib	1	985.3386454183267	829.5776892430279	NF0014	G10	1	ZS054	9.250036	-0.51471967
Nilotinib	1	732.5137866320197	720.5879890284394	NF0014	F6	1	ZS044	13.606946	2.7993674
Mirdametinib	10	914.3032629558542	913.9769673704415	NF0014	C9	2	ZS030	11.107658	5.360958
Binimetinib	10	1061.872748179379	1134.988118052894	NF0014	D8	1	ZS034	9.005447	0.24416202
Imatinib	1	857.6436849053836	1252.3698107671996	NF0014	D6	1	ZS046	11.017236	1.4078438
Staurosporine	10	763.1966942148761	735.5537190082645	NF0014	G11	2	ZS014	9.938885	-0.12310186
Nilotinib	1	870.4355087358684	800.893627954779	NF0014	F6	1	ZS044	13.615252	1.8603356
Nilotinib	1	916.1452122062434	408.71577224365717	NF0014	F6	1	ZS044	13.38269	1.6539176
Copanlisib	1	1000.3843856655291	706.2760238907849	NF0014	D3	2	ZS014	11.106455	0.3939089
DMSO	1	932.5892725936811	231.2680382072006	NF0014	D4	1	ZS058	11.868489	2.0190957
Digoxin	1	464.53061224489795	373.6190476190476	NF0014	D2	1	ZS026	12.078802	-1.197966
Imatinib	1	538.6030201342281	525.3338926174497	NF0014	D6	2	ZS030	10.638338	2.7306316
Trametinib	1	1046.719800747198	649.1774595267746	NF0014	D10	1	ZS016	9.364831	0.3901042
DMSO	1	632.8356869911945	321.84980893836183	NF0014	D9	1	ZS048	10.806834	2.613022
Copanlisib	1	582.3504556752279	1235.2125103562553	NF0014	D3	1	ZS022	9.1560755	1.4498364
Rapamycin	1	566.6621111111111	889.533	NF0014	F5	1	ZS042	13.995561	1.5623378
Selumetinib	1	849.6023839931886	1432.9120902511706	NF0014	D11	2	ZS060	14.273684	2.8449948
DMSO	1	794.4182836982463	885.6089031856387	NF0014	E4	2	ZS038	12.5117655	1.2420306
DMSO	1	1011.7864275147929	1021.5151627218935	NF0014	G9	1	ZS048	12.877448	2.5341444
Selumetinib	1	821.4695622435021	999.4809336525308	NF0014	D11	3	ZS034	10.235066	3.3226604
Selumetinib	1	1117.7099723580693	475.27897086965766	NF0014	D11	2	ZS060	14.37299	2.1546988
Selumetinib	1	989.4010662604722	1084.8633663366336	NF0014	D11	3	ZS034	10.643609	2.4347267
Binimetinib	1	1033.8	853.5111111111111	NF0014	G7	1	ZS024	10.6422205	3.5204859
DMSO	1	760.6274856046065	462.40414587332054	NF0014	D4	1	ZS058	13.5777445	2.304489
DMSO	1	814.1435608726249	692.0147783251232	NF0014	D9	1	ZS048	8.681848	0.041291367
Rapamycin	1	970.5910805050008	699.9380226266601	NF0014	G5	2	ZS030	13.6989975	1.3419073
Copanlisib	1	556.2647058823529	1333.7941176470588	NF0014	E3	1	ZS028	11.495692	-0.324106
Binimetinib	10	1040.7449888641424	919.0777654046028	NF0014	D8	1	ZS034	10.37413	2.9487476
Ketotifen	1	777.5495495495495	925.5135135135135	NF0014	C7	1	ZS024	11.7031145	-0.21578978
Trametinib	10	460.09722393584207	1211.506354102406	NF0014	F10	1	ZS048	8.205376	3.972904
Nilotinib	1	831.5652246814219	954.3566398390342	NF0014	F6	1	ZS044	10.870198	2.9244647
Digoxin	1	337.00634115409	783.0634115409005	NF0014	D2	1	ZS026	8.724614	1.4429238
Digoxin	1	783.5972413793104	607.1310344827587	NF0014	E2	1	ZS024	10.531533	2.4664655
DMSO	1	556.953462495091	997.7496400052363	NF0014	D4	2	ZS016	10.957833	1.175443
DMSO	1	624.1724762335898	384.04119511090994	NF0014	F4	1	ZS042	11.8269825	0.5487544
DMSO	1	607.5634151371416	1175.320684677253	NF0014	F9	2	ZS046	11.099343	1.7526718
Nilotinib	1	577.4613851519681	852.8609865470852	NF0014	F6	2	ZS060	8.686058	-0.25698116
Mirdametinib	1	713.7639456895141	663.5080974971372	NF0014	F8	2	ZS046	14.123359	1.4388771
Digoxin	1	673.3374827109267	709.3471645919778	NF0014	E2	1	ZS024	10.980278	-0.14767113
Ketotifen	1	1288.7255605381165	1240.232062780269	NF0014	G6	1	ZS018	12.758143	4.253241
Everolimus	1	1015.3391452543261	630.4800734137389	NF0014	C5	1	ZS052	13.21522	1.407039
Selumetinib	1	979.1205472988912	772.9561217268224	NF0014	D11	3	ZS034	11.036909	3.2313113
Digoxin	1	1025.0855949895615	482.56297842727906	NF0014	E2	2	ZS016	11.416668	0.618541
Onalespib	1	567.3913894324853	426.8904109589041	NF0014	C3	1	ZS032	10.155599	0.6715993
Digoxin	1	806.8723308270677	721.1064661654135	NF0014	D2	1	ZS026	10.271545	1.3869351
Everolimus	1	765.4738571855393	429.1622348371676	NF0014	G4	1	ZS024	10.639919	3.2936845
Onalespib	1	787.66	713.44	NF0014	F2	1	ZS016	11.368512	-1.1165694
DMSO	1	881.1417748917748	443.0514069264069	NF0014	C4	1	ZS044	9.529034	0.053661123
Binimetinib	1	839.7942206654991	844.2447460595447	NF0014	F7	1	ZS028	9.792575	2.5517488
Imatinib	1	1049.4034270650263	594.3003514938489	NF0014	C6	2	ZS054	10.491568	3.4485822
Copanlisib	1	407.45899242323543	794.2319553369666	NF0014	D3	2	ZS014	13.079772	0.13226563
DMSO	1	705.1045751633987	871.3398692810457	NF0014	G9	1	ZS048	11.843155	-0.31796405
Nilotinib	1	1332.9084507042253	683.9066901408451	NF0014	F6	1	ZS044	11.204928	2.292395
Binimetinib	1	761.4094034566066	623.5785170042743	NF0014	F7	2	ZS040	14.371873	1.6435784
DMSO	1	923.8661092185403	645.929183441726	NF0014	E9	1	ZS038	11.505219	2.8562167
Copanlisib	1	574.6832211650035	1001.8946391274078	NF0014	D3	1	ZS022	9.755273	1.3128115
Fimepinostat	1	914.1633986928105	1230.0882352941176	NF0014	D5	2	ZS016	12.853249	-1.0158464
DMSO	1	517.1961862852952	542.3340667400073	NF0014	C4	2	ZS032	14.1399	2.7742333
DMSO	1	1091.7829512893982	812.1246418338109	NF0014	F4	2	ZS060	11.952595	2.5665743
Nilotinib	1	559.421052631579	510.1684210526316	NF0014	E6	2	ZS020	10.592086	-1.0634879
Mirdametinib	10	1023.0316509837468	929.1745081266039	NF0014	C9	1	ZS032	11.762402	3.7720447
Binimetinib	1	935.1611895394584	736.4599629715344	NF0014	G7	1	ZS024	10.638426	4.64216
DMSO	1	864.3340239410682	455.00690607734805	NF0014	F4	1	ZS042	10.991746	1.354626
Selumetinib	1	657.4777234097347	711.7926860674736	NF0014	G10	1	ZS054	10.854464	0.23206621
Trametinib	10	628.3298969072165	1058.1134020618556	NF0014	F10	1	ZS048	8.435604	2.4716249
Binimetinib	10	702.5418621179815	662.7351812366737	NF0014	C8	1	ZS026	10.664791	5.0843015
DMSO	1	870.0321547223541	368.85749881347886	NF0014	D9	1	ZS048	13.965759	1.8098818
DMSO	1	761.3504996156803	553.6648731744812	NF0014	D9	3	ZS050	12.372782	3.2034094
DMSO	1	769.767347324636	989.7899413877859	NF0014	D4	1	ZS058	11.849859	2.6972826
Digoxin	1	698.8305084745763	877.4915254237288	NF0014	D2	2	ZS014	11.246464	-0.5944312
DMSO	1	1021.3284978540772	730.4109871244635	NF0014	F4	2	ZS060	12.17442	3.0115626
Fimepinostat	1	822.6671755725191	1133.073282442748	NF0014	E5	1	ZS008	8.440099	0.13988332
DMSO	1	253.14858705560619	790.7445305378304	NF0014	F4	2	ZS060	12.974332	0.08973205
Binimetinib	10	534.7928414654735	245.26591254431875	NF0014	C8	1	ZS026	11.004967	4.432906
Linsitinib	1	600.0156589821662	1158.769464984776	NF0014	G3	1	ZS044	8.736241	-0.0122479135
DMSO	1	874.5279644268775	988.8729249011858	NF0014	E4	2	ZS038	11.597272	1.6476821
Rapamycin	1	1005.6295808067492	648.1523859741629	NF0014	G5	1	ZS022	8.933561	1.1791172
Fimepinostat	1	570.8717161016949	1196.8102754237289	NF0014	E5	2	ZS010	9.138006	1.8275261
Binimetinib	1	982.2775601566872	1071.7465025181868	NF0014	F7	1	ZS028	11.082341	4.404106
Staurosporine	10	940.3	662.45	NF0014	C2	2	ZS006	7.997679	4.1349077
Copanlisib	1	645.5420393559929	882.8336314847943	NF0014	D3	1	ZS022	8.723633	-0.17664836
Selumetinib	10	927.0699123989218	756.7422506738544	NF0014	F11	2	ZS018	9.896668	1.9595953
Everolimus	1	937.3968664189953	750.1857535131643	NF0014	C5	1	ZS052	13.465744	2.7870078
DMSO	1	1030.3860714285715	1073.5914285714287	NF0014	D9	1	ZS048	14.237769	1.7034134
Trametinib	10	749.9634273772205	514.1450962830273	NF0014	F10	1	ZS048	8.113451	3.5180273
DMSO	1	992.7432150313152	1084.3695198329854	NF0014	F9	2	ZS046	12.806768	-0.63166034
Digoxin	1	741.2440677966101	911.7227118644067	NF0014	D2	2	ZS014	9.274683	0.33572465
Trametinib	1	573.1055895271725	925.0701920592542	NF0014	C10	1	ZS044	10.704398	4.113229
Selumetinib	1	729.6058217101273	1228.6594906003638	NF0014	D11	2	ZS060	13.429349	2.6252527
Everolimus	1	877.7545787545788	940.1293498168499	NF0014	C5	1	ZS052	10.8752165	1.3897165
Mirdametinib	1	827.8250202210838	963.1784847667835	NF0014	E8	1	ZS030	10.023596	3.3887753
Imatinib	1	870.4321223709369	583.2848948374761	NF0014	C6	1	ZS034	8.520485	0.2329307
Staurosporine	10	528.2479674796748	589.920054200542	NF0014	C11	1	ZS030	9.843506	0.718379
Copanlisib	1	238.35588526211671	675.9392680514342	NF0014	E3	1	ZS028	10.886748	1.4956224
DMSO	1	1060.2261710683622	1003.94848386045	NF0014	D9	1	ZS048	10.256677	3.6449716
DMSO	1	689.1124657116733	953.8264756679874	NF0014	F9	2	ZS046	13.051121	3.265914
Digoxin	1	722.6431226765799	731.2750929368029	NF0014	E2	1	ZS024	11.273741	-0.29367673
DMSO	1	755.1619812583668	391.58500669344045	NF0014	C4	2	ZS032	13.846189	2.2771852
Nilotinib	1	529.9538989700834	768.0188818048063	NF0014	E6	1	ZS054	11.2137985	1.7886916
Cabozantinib	1	692.8205756276791	903.9320269442743	NF0014	E7	2	ZS028	10.444062	4.003681
Mirdametinib	10	213.9594835262689	742.2920747996438	NF0014	G8	2	ZS028	8.74328	1.466202
DMSO	1	925.9394853236831	1186.2394451145958	NF0014	G9	2	ZS060	10.251767	3.6412504
DMSO	1	472.54632152588556	1048.2023160762942	NF0014	D9	1	ZS048	9.558896	0.15444794
Selumetinib	1	849.9022520364159	949.3296597987542	NF0014	D11	1	ZS048	8.5375185	4.128773
DMSO	1	407.4076462999883	974.5018177553653	NF0014	F4	3	ZS042	10.892545	2.51893
Nilotinib	1	1061.2414949688548	553.6534099984028	NF0014	E6	1	ZS054	11.046491	1.8841498
Ketotifen	1	831.837037037037	218.05	NF0014	G6	2	ZS024	10.026578	-0.7336339
Ketotifen	1	347.8557412790698	989.8517441860465	NF0014	G6	2	ZS024	8.910254	-0.34476954
Selumetinib	1	627.3991434689508	345.05481798715203	NF0014	D11	2	ZS060	10.241544	3.6724315
Fimepinostat	1	628.660294117647	683.4264705882352	NF0014	D5	2	ZS016	12.124486	-0.29796857
DMSO	1	967.0	1054.6425217974513	NF0014	F9	2	ZS046	12.005372	2.7736418
Digoxin	1	860.468434639756	689.4686693264492	NF0014	D2	2	ZS014	9.835172	3.4771173
Nilotinib	1	945.6325353962925	816.1283024376004	NF0014	E6	1	ZS054	11.969646	2.2593546
Onalespib	1	1112.2809315866084	509.34788937409024	NF0014	F2	1	ZS016	10.616999	2.209221
Everolimus	1	822.268	363.71643243243244	NF0014	C5	1	ZS052	11.427667	2.9134943
Ketotifen	1	371.9225634178905	799.3978638184245	NF0014	C7	1	ZS024	12.341004	1.736164
Digoxin	1	859.271112790478	773.7844322690346	NF0014	E2	1	ZS024	10.191727	2.9309204
Ketotifen	1	136.09896033885252	468.8442433577205	NF0014	C7	1	ZS024	12.3778925	1.9093121
Selumetinib	1	763.8256381381382	1283.2952327327328	NF0014	D11	2	ZS060	13.967113	2.289903
Staurosporine	10	823.587481925222	872.4399917372443	NF0014	C2	2	ZS006	7.901813	4.140829
Mirdametinib	1	567.3474295190713	1458.8781094527362	NF0014	F8	1	ZS022	9.834258	2.7188513
Mirdametinib	1	649.8846947803008	529.5110586847537	NF0014	E8	2	ZS064	12.865063	3.0792282
Binimetinib	10	624.356981981982	664.0078828828829	NF0014	C8	1	ZS026	11.276288	5.4400682
Copanlisib	1	691.8341625207297	632.8407960199005	NF0014	D3	2	ZS014	9.550934	-0.37166226
Ketotifen	1	742.6137060414788	1109.2854824165915	NF0014	G6	2	ZS024	10.517957	2.4215937
Binimetinib	1	1079.3799147323543	729.5495026054003	NF0014	G7	1	ZS024	10.785622	3.6532876
Ketotifen	1	224.0481698286198	824.4862825305029	NF0014	C7	1	ZS024	12.168669	1.5608972
Staurosporine	10	393.37142857142857	467.3142857142857	NF0014	C11	1	ZS030	11.185061	-1.264791
Digoxin	1	809.4166812379787	362.8407064172058	NF0014	D2	1	ZS026	12.886091	0.34467396
Staurosporine	10	981.0938586326768	739.7369640787949	NF0014	G2	1	ZS030	9.332775	0.5483111
DMSO	1	855.4404938271605	940.4360493827161	NF0014	E4	1	ZS048	13.115412	2.2443352
Mirdametinib	1	978.5919955530851	787.2329071706504	NF0014	E8	2	ZS064	10.904898	3.0643332
Everolimus	1	865.3477965179543	768.6437704026115	NF0014	C5	2	ZS030	10.44172	2.6544504
Digoxin	1	894.8453427065026	580.1429408318688	NF0014	D2	3	ZS016	8.959253	1.5740566
Cabozantinib	1	553.3373382624769	963.5847196549599	NF0014	E7	2	ZS028	11.563963	3.8806403
Binimetinib	1	958.3946337641989	917.1603995299647	NF0014	G7	2	ZS016	8.929307	1.295041
Everolimus	1	826.2448091754004	861.1678860984773	NF0014	C5	1	ZS052	11.676495	2.4890444
Imatinib	1	737.122591943958	788.1033274956217	NF0014	C6	1	ZS034	10.748395	0.1246912
Selumetinib	1	1023.0678805302667	172.1665868072193	NF0014	D11	2	ZS060	10.248019	3.838167
Linsitinib	1	306.2110639067161	707.6349091566483	NF0014	F3	1	ZS042	10.85643	2.5455515
Imatinib	1	646.8351858491693	765.6853113421776	NF0014	D6	2	ZS030	10.563523	2.5620444
DMSO	1	584.015444015444	597.5	NF0014	C4	2	ZS032	12.91326	2.1073155
Ketotifen	1	639.6049232269071	965.0024372410431	NF0014	G6	1	ZS018	10.1742325	1.9161412
Selumetinib	10	621.7980295566502	161.7536945812808	NF0014	F11	1	ZS056	13.094518	0.1298621
DMSO	1	518.876993166287	774.3530751708428	NF0014	D9	2	ZS052	10.010893	1.0459403
Linsitinib	1	425.024108322325	1153.1124504623515	NF0014	G3	1	ZS044	8.763237	1.7101214
DMSO	1	867.4658385093168	470.7826086956522	NF0014	C4	1	ZS044	10.962452	-0.48305735
Fimepinostat	1	1026.182389937107	872.8490566037735	NF0014	D5	2	ZS016	11.436172	-0.5786244
Nilotinib	1	771.948708348933	820.7865967802321	NF0014	F6	1	ZS044	13.030114	1.4703605
DMSO	1	752.4393463230673	965.2019170333124	NF0014	E4	2	ZS038	11.675495	1.4587225
Staurosporine	10	1031.62	1283.98	NF0014	C2	1	ZS006	11.238747	-0.89088845
Imatinib	1	847.7053413512557	675.1218606296427	NF0014	C6	2	ZS054	13.827825	2.3494055
DMSO	1	1091.109820322181	731.2750929368029	NF0014	D4	2	ZS016	12.850684	4.1922803
Everolimus	1	837.0177059276366	734.0041570438799	NF0014	C5	1	ZS052	13.393332	2.3431642
DMSO	1	989.5610187959684	729.6834649959139	NF0014	G9	1	ZS048	13.274486	3.3204708
DMSO	1	966.3534978437949	361.9625059894586	NF0014	D4	1	ZS058	11.79033	2.207346
Everolimus	1	932.1968019680197	852.3958589585895	NF0014	C5	2	ZS030	11.975758	3.2753568
Nilotinib	1	797.6249069247953	296.89314966492924	NF0014	E6	1	ZS054	11.545625	2.1294737
DMSO	1	534.654447533009	749.5938151494094	NF0014	F4	2	ZS060	11.380576	2.0581157
Cabozantinib	1	355.22555948174323	988.4540636042403	NF0014	D7	2	ZS022	9.969782	1.8909501
Binimetinib	10	1007.508064516129	904.4879032258065	NF0014	C8	2	ZS030	10.719502	0.3214425
Digoxin	1	441.2307692307692	432.2637362637363	NF0014	D2	1	ZS026	10.976996	-0.85676605
Selumetinib	10	971.993544600939	1361.9149061032863	NF0014	F11	3	ZS028	9.88784	0.46477
DMSO	1	176.5750441436139	362.80223660977043	NF0014	C4	2	ZS032	12.957502	-0.009798132
Onalespib	1	760.2036866359447	526.1023041474655	NF0014	C3	1	ZS032	8.647153	0.45972085
Selumetinib	10	1218.2497380370241	610.0284666433811	NF0014	F11	3	ZS028	9.098468	1.7475424
DMSO	1	628.1817699349874	655.3432400159214	NF0014	C4	2	ZS032	14.041351	2.2517836
Trametinib	1	737.2964583618215	521.9228770682347	NF0014	D10	2	ZS042	13.547036	2.4372692
DMSO	1	658.2259851242285	411.9772115841114	NF0014	D9	1	ZS048	11.98373	1.9521399
Digoxin	1	1001.2816901408451	516.6760563380282	NF0014	E2	1	ZS024	11.245835	-0.9384989
Digoxin	1	783.3901515151515	660.814393939394	NF0014	D2	3	ZS016	10.938162	-0.22220281
Nilotinib	1	450.9297555493116	465.3624613655521	NF0014	E6	2	ZS020	10.177373	2.0030994
DMSO	1	685.031191409579	1252.8951764104313	NF0014	D9	1	ZS048	10.9583435	2.097291
DMSO	1	269.67839771101575	734.2137339055794	NF0014	D9	1	ZS048	12.265106	3.1513767
Everolimus	1	927.4741739460691	668.5058868211166	NF0014	C5	1	ZS052	13.65867	2.2172225
Binimetinib	1	904.4203769140165	662.3572438162544	NF0014	F7	2	ZS040	10.660351	3.778275
Linsitinib	1	698.6107382550335	1062.5570469798658	NF0014	G3	1	ZS044	11.541336	-0.8205717
DMSO	1	943.3014354066986	1244.822966507177	NF0014	D9	1	ZS048	11.058869	2.943175
Selumetinib	1	958.2345360824743	746.1899852724595	NF0014	G10	1	ZS054	10.626295	1.8892522
Cabozantinib	1	615.8711755233494	960.3381642512078	NF0014	E7	2	ZS028	10.425318	3.262998
Trametinib	1	908.7483833039389	317.533215755438	NF0014	D10	2	ZS042	11.25576	0.54489076
DMSO	1	1275.8084087280467	699.0524215007983	NF0014	F9	2	ZS046	11.81966	2.933258
Ketotifen	1	860.77741439015	786.2508657175837	NF0014	G6	2	ZS024	10.46271	3.150484
Staurosporine	10	351.2327698309493	602.9713914174253	NF0014	C11	1	ZS030	9.488877	-1.1513729
Mirdametinib	10	668.5376044568245	821.9867688022284	NF0014	G8	2	ZS028	8.582557	1.2169542
Cabozantinib	1	776.8593805624778	613.3659665361339	NF0014	E7	2	ZS028	11.952688	3.7201045
DMSO	1	969.0651465798046	636.403741752276	NF0014	G9	1	ZS048	11.387696	2.9469914
Linsitinib	1	797.9995352439969	785.7274980635167	NF0014	F3	1	ZS042	11.147629	1.5213867
Ketotifen	1	872.009799651568	963.2663327526133	NF0014	G6	2	ZS024	10.190883	1.9021318
Trametinib	1	278.3756050338819	862.326234269119	NF0014	C10	2	ZS018	13.095163	4.2003655
DMSO	1	1142.433207138994	376.80638182801516	NF0014	F9	2	ZS046	11.29685	2.7239237
DMSO	1	700.2397284744552	1216.0606466595214	NF0014	C4	1	ZS044	13.665214	1.8942354
Fimepinostat	1	817.5406109743739	871.4986245837556	NF0014	D5	1	ZS010	9.544576	1.8790296
Trametinib	1	899.5464695232348	511.9864212432106	NF0014	D10	2	ZS042	10.663465	2.4259298
Everolimus	1	651.2166578808645	1091.0021085925146	NF0014	G4	2	ZS036	8.670293	0.06263369
DMSO	1	936.1250490773459	786.9399293286219	NF0014	C4	1	ZS044	11.990522	1.8359777
Trametinib	10	27.15159755268525	731.4955812372535	NF0014	F10	1	ZS048	13.088823	-0.25302497
Copanlisib	1	281.98517826145013	560.3347576445453	NF0014	E3	1	ZS028	13.355667	0.9352173
Selumetinib	1	368.72886105159057	1307.5912312510302	NF0014	G10	1	ZS054	10.345511	1.2946403
DMSO	1	432.7826086956522	511.3768115942029	NF0014	D9	1	ZS048	12.807028	-1.269218
Digoxin	1	1421.031190926276	1022.4669187145557	NF0014	D2	1	ZS026	12.945031	-0.5212151
Onalespib	1	722.2954472069745	383.73135292218274	NF0014	C3	1	ZS032	9.538184	1.676055
DMSO	1	939.0873015873016	1058.2301587301588	NF0014	F4	3	ZS042	11.58999	-0.3835416
DMSO	1	1237.568978562421	482.05372005044137	NF0014	E4	1	ZS048	12.78362	0.5451249
Binimetinib	1	705.0890336590662	587.7081433224756	NF0014	F7	2	ZS040	14.458019	2.4097397
Digoxin	1	882.9805447470817	830.2645914396887	NF0014	D2	1	ZS026	11.348248	-0.29709598
Ketotifen	1	477.0033783783784	790.1538851351352	NF0014	C7	1	ZS024	12.338142	1.8163296
Selumetinib	1	604.414606950381	1324.2607322059098	NF0014	D11	2	ZS060	14.20426	2.3193972
Fimepinostat	1	1326.8090909090909	1068.678787878788	NF0014	D5	2	ZS016	12.88341	-1.0734841
Onalespib	1	756.8238095238095	567.6476190476191	NF0014	C3	1	ZS032	10.408824	1.1789685
DMSO	1	1069.3809258226436	808.3555493586168	NF0014	F9	2	ZS046	10.864716	2.698636
DMSO	1	1139.8671753077856	513.8323218311081	NF0014	F9	2	ZS046	13.840854	3.1121418
